"","V1","age","income","children","credit_history","overdue_payments","active_loans","years_in_job","employment_type","owns_property","assets_value","other_loans","education","city","marital_status","support_indicator","credit_risk"
"1",0,44,15689,0,"dobra","0",2,9,"samozatrudnienie","nie",0,1,"wyższe","małe","M",0.178130718316452,0
"2",1,38,18906,4,"brak","0",0,1,"stała","tak",62965,0,"średnie","średnie","S",0.370479952645277,0
"3",2,46,16338,2,"brak","0",2,4,"brak","tak",124967,0,"podstawowe","duże","M",0.712334293137456,0
"4",3,55,23276,3,"dobra","1",2,10,"stała","tak",52147,1,"średnie","małe","S",0.665049664010343,0
"5",4,37,40000,1,"brak","0",1,9,"określona","nie",33957,1,"wyższe","małe","S",0.607150978647289,0
"6",5,37,0,0,"dobra","1",1,11,"określona","tak",85621,0,"wyższe","duże","S",0.165969114487106,0
"7",6,55,36330,0,"brak","0",1,15,"stała","tak",122819,1,"średnie","duże","D",0.0938100421038448,0
"8",7,47,14900,3,"brak","0",2,9,"stała","nie",181387,1,"wyższe","średnie","M",0.179900923906718,0
"9",8,35,14417,0,"dobra","0",1,6,"stała","nie",58159,0,"średnie","średnie","S",0.795597788577888,0
"10",9,45,33166,0,"dobra","1",2,12,"stała","nie",0,0,"wyższe","małe","S",0.789882606402191,0
"11",10,35,34925,1,"brak","0",2,1,"określona","nie",246233,1,"wyższe","średnie","S",0.680948926368689,0
"12",11,35,33715,0,"dobra","0",2,10,"brak","nie",87043,0,"średnie","małe","S",0.899972186610259,0
"13",12,42,11408,1,"dobra","1",3,16,"określona","tak",209666,1,"średnie","małe","S",0.0476890109948814,0
"14",13,20,17448,0,"dobra","0",1,6,"samozatrudnienie","tak",193520,0,"podstawowe","duże","S",0.64949210144388,0
"15",14,22,0,1,"brak","0",1,6,"określona","tak",202173,0,"podstawowe","średnie","S",0.82611915108185,0
"16",15,34,22488,3,"brak","0",0,19,"określona","tak",48217,0,"średnie","średnie","M",0.520705483731618,0
"17",16,29,12876,0,"brak","0",0,11,"samozatrudnienie","tak",34306,1,"średnie","średnie","M",0.412304230665331,0
