Unnamed: 0,V1,age,income,children,active_loans,years_in_job,assets_value,other_loans,support_indicator,credit_risk,overdue_payments_0,overdue_payments_1,overdue_payments_2,overdue_payments_3,overdue_payments_4,credit_history_brak,credit_history_dobra,employment_type_brak,employment_type_określona,employment_type_samozatrudnienie,employment_type_stała,owns_property_nie,owns_property_tak,education_podstawowe,education_wyższe,education_średnie,city_duże,city_małe,city_średnie,marital_status_D,marital_status_M,marital_status_S
1,0,44,15689,0,2,9,0.0,1,0.178130718316452,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
2,1,38,18906,4,0,1,62965.0,0,0.370479952645277,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
3,2,46,16338,2,2,4,124967.0,0,0.712334293137456,0,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False
4,3,55,23276,3,2,10,52147.0,1,0.665049664010343,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
5,4,37,40000,1,1,9,33957.0,1,0.607150978647289,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
6,5,37,0,0,1,11,85621.0,0,0.165969114487106,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
7,6,55,36330,0,1,15,122819.0,1,0.0938100421038448,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
8,7,47,14900,3,2,9,181387.0,1,0.179900923906718,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False
9,8,35,14417,0,1,6,58159.0,0,0.795597788577888,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
10,9,45,33166,0,2,12,0.0,0,0.789882606402191,0,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True
11,10,35,34925,1,2,1,246233.0,1,0.680948926368689,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
12,11,35,33715,0,2,10,87043.0,0,0.899972186610259,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
13,12,42,11408,1,3,16,209666.0,1,0.0476890109948814,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
14,13,20,17448,0,1,6,193520.0,0,0.64949210144388,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True
15,14,22,0,1,1,6,202173.0,0,0.82611915108185,0,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
